     Car Name,Displacement ,Enginee,          hp,   Transmission,    Toppp-speeed,           Cost
McLaren F1,6.100000345,V12,618,6,243,"25, 000, 000"
Bugatti Chiron,8,W16,1479,7,250,"3, 000, 000"
Mercedes-AMG ONE,1.6,V6,748,8,217,"2, 653, 000"
McLaren Sennaaaa,4,V8987654,789,NaN,211,"1, 500, 000"
Koenigseeeggg Agera,5,V8,1016,NaN,249,"2, 500, 000"
Porsche 918 Spyder,Hello,V8,NaN,7,211,"900, 000"
Ferrari LaFerrari,6.3,V12,949,7,NaN,"2, 000, 000"
Pagaaani Huayra BC,6,__,745,7,230,"2, 550, 000"
Aston Martin Valkyrie,6.590987865,V12,NaN,NaN,250,"3, 200, 000"
Bugatti Veyronre,8,W16,987,7,267.856,"2, 000, 000"
